OID_,OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,SHAPE_Area
113,113,Canyon,Idaho,16,027,0.174306993374000
115,115,Ada,Idaho,16,001,0.305365423938000
116,116,Elmore,Idaho,16,039,0.891639526017000
117,117,Owyhee,Idaho,16,073,2.186081092440000
184,184,Camas,Idaho,16,025,0.310845625617000
185,185,Gooding,Idaho,16,047,0.209772207953000
186,186,Jerome,Idaho,16,053,0.171292750628000
187,187,Lincoln,Idaho,16,063,0.344784220988000
188,188,Twin Falls,Idaho,16,083,0.545670178259000
189,189,Cassia,Idaho,16,031,0.729383402328000
190,190,Minidoka,Idaho,16,067,0.217675406851000
191,191,Power,Idaho,16,077,0.410473200537000
192,192,Blaine,Idaho,16,013,0.765798137093000
193,193,Butte,Idaho,16,023,0.646151059749000
198,198,Franklin,Idaho,16,041,0.188619666794000
203,203,Bannock,Idaho,16,005,0.326351058570000
204,204,Caribou,Idaho,16,029,0.512351186027000
205,205,Oneida,Idaho,16,071,0.339233386208000
206,206,Bingham,Idaho,16,011,0.608313372171000
207,207,Bonneville,Idaho,16,019,0.546814193356000
208,208,Madison,Idaho,16,065,0.137013090848000
209,209,Bear Lake,Idaho,16,007,0.296659925696000
210,210,Teton,Idaho,16,081,0.130417666407000
1939,1939,Payette,Idaho,16,075,0.119190669633000
1940,1940,Washington,Idaho,16,087,0.431479870375000
1943,1943,Boise,Idaho,16,015,0.554042478166000
1944,1944,Gem,Idaho,16,045,0.164575273914000
1945,1945,Adams,Idaho,16,003,0.404143826285000
1946,1946,Valley,Idaho,16,085,1.099058021630000
1947,1947,Nez Perce,Idaho,16,069,0.259114067699000
1953,1953,Lewis,Idaho,16,061,0.144962289736000
1954,1954,Idaho,Idaho,16,049,2.550730072200000
1955,1955,Clearwater,Idaho,16,035,0.757592810894000
1956,1956,Latah,Idaho,16,057,0.328755600379000
1966,1966,Benewah,Idaho,16,009,0.241082170185000
1967,1967,Bonner,Idaho,16,017,0.602652083566000
1968,1968,Kootenai,Idaho,16,055,0.408122722186000
1969,1969,Shoshone,Idaho,16,079,0.812604860342000
1970,1970,Boundary,Idaho,16,021,0.404858608386000
1971,1971,Custer,Idaho,16,037,1.440724836540000
1972,1972,Lemhi,Idaho,16,059,1.349198498050000
1977,1977,Clark,Idaho,16,033,0.515406205954000
1978,1978,Fremont,Idaho,16,043,0.553030385621000
1979,1979,Jefferson,Idaho,16,051,0.320390811522000
